[2025-11-20 18:46:08] [INFO] Link map built with 1520 entries
[2025-11-20 18:46:08] [INFO] Found 923 HTML files to convert
[2025-11-20 18:46:08] [INFO] Auto-detected threads: 12
[2025-11-20 18:46:08] [INFO] Batch size: 200
[2025-11-20 18:46:08] [INFO] Max retries: 4
[2025-11-20 18:46:08] [INFO] Strict quality: True
[2025-11-20 18:46:08] [INFO] Checkpoint enabled: True
[2025-11-20 18:46:08] [INFO] Log file: C:\Docs\MDX\_conversion_log_20251120_184607.txt
[2025-11-20 18:46:42] [SUCCESS] Cost-Center.htm -> admin_org_details\cost_center_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Departments.htm -> admin_org_details\departments_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:45] [SUCCESS] Designations.htm -> admin_org_details\designations_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Holidays.htm -> admin_org_details\holidays_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:45] [SUCCESS] Locations.htm -> admin_org_details\locations_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Operational-Hours.htm -> admin_org_details\operational_hours_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Organizational-Details.htm -> admin_org_details\organizational_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Admin-Other.htm -> admin_other\admin_other_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Announcements.htm -> admin_other\announcements_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:45] [SUCCESS] Business-Rules-New.htm -> admin_other\business_rules_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Business-Rules.htm -> admin_other\business_rules_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:45] [SUCCESS] Custom-Reports.htm -> admin_other\custom_reports_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:45] [SUCCESS] Documentation-Tester.htm -> admin_other\documentation_tester_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] KPIs.htm -> admin_other\kpis_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:45] [SUCCESS] Role-Access.htm -> admin_other\role_access_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:46] [SUCCESS] Inbox-Config-ITSM-Ticket-Mngmnt.htm -> admin_other\inbox_config_itsm_ticket_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:46] [SUCCESS] SLA-Details.htm -> admin_other\sla_details_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:47] [SUCCESS] Reports.htm -> admin_other\reports_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:47] [SUCCESS] Risk-Score-Calculator.htm -> admin_other\risk_score_calculator_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:47] [SUCCESS] SLA-Attachments.htm -> admin_other\sla_attachments_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:47] [SUCCESS] SLA-Comments.htm -> admin_other\sla_comments_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:47] [SUCCESS] SLA-Edit.htm -> admin_other\sla_edit_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:47] [SUCCESS] SLA-New.htm -> admin_other\sla_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:47] [SUCCESS] SMTP-Config.htm -> admin_other\smtp_config_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:48] [SUCCESS] About-Problem-Mngmnt.htm -> admin_problem_mngmnt\about_problem_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:49] [SUCCESS] SLA-Tasks.htm -> admin_other\sla_tasks_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:49] [SUCCESS] SLA.htm -> admin_other\sla_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:50] [SUCCESS] Survey.htm -> admin_other\survey_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:50] [SUCCESS] Problem-Closure-Code.htm -> admin_problem_mngmnt\problem_closure_code_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:50] [SUCCESS] Problem-Error-Code.htm -> admin_problem_mngmnt\problem_error_code_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:50] [SUCCESS] Problem-Timescale.htm -> admin_problem_mngmnt\problem_timescale_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:50] [SUCCESS] About-Procurement.htm -> admin_procurement\about_procurement_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:50] [SUCCESS] Problem-Category.htm -> admin_problem_mngmnt\problem_category_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:51] [SUCCESS] Problem-Model.htm -> admin_problem_mngmnt\problem_model_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:51] [SUCCESS] Problem-Priority-Calculator.htm -> admin_problem_mngmnt\problem_priority_calculator_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:51] [SUCCESS] Problem-State.htm -> admin_problem_mngmnt\problem_state_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:51] [SUCCESS] About-Procurement.htm -> admin_procurement_mngmnt\about_procurement_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:51] [SUCCESS] About-Project-Management.htm -> admin_project_mngmnt\about_project_management_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:51] [SUCCESS] About-Project-Mngmnt.htm -> admin_project_mngmnt\about_project_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:52] [SUCCESS] About-Release-Mngmnt.htm -> admin_release_mngmnt\about_release_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
